flight_id,flight_date,month,day_of_week,airline_code,airline_name,origin,destination,scheduled_departure,scheduled_arrival,departure_delay,arrival_delay,cancelled,cancellation_code,cancellation_reason,diverted,distance,air_time,on_time
1000,2023-10-09,10,Monday,DL,Delta Air Lines,ATL,LAX,13:15,18:30,16.0,28.0,0,,,0,1946,305.0,No
1001,2023-06-19,6,Monday,NK,Spirit Airlines,SEA,SFO,14:00,16:10,97.0,102.0,0,,,0,679,144.0,No
1002,2023-02-13,2,Monday,F9,Frontier Airlines,SEA,LAX,08:30,11:15,1.0,3.0,0,,,0,954,176.0,Yes
1003,2023-05-12,5,Friday,AS,Alaska Airlines,JFK,MIA,12:30,15:25,-8.0,4.0,0,,,0,1090,172.0,Yes
1004,2023-11-02,11,Thursday,AA,American Airlines,SEA,SFO,16:45,18:55,29.0,46.0,0,,,0,679,132.0,No
1005,2023-05-12,5,Friday,NK,Spirit Airlines,BOS,JFK,13:15,14:15,23.0,21.0,0,,,0,187,71.0,No
1006,2023-09-18,9,Monday,AA,American Airlines,ORD,DFW,14:30,17:00,4.0,-15.0,0,,,0,802,148.0,Yes
1007,2023-05-25,5,Thursday,WN,Southwest Airlines,DFW,LAX,11:00,14:15,-7.0,-4.0,0,,,0,1235,194.0,Yes
1008,2023-09-16,9,Saturday,UA,United Airlines,DFW,LAX,11:30,14:45,-4.0,2.0,0,,,0,1235,207.0,Yes
1009,2023-04-01,4,Saturday,WN,southwest airlines,LAX,JFK,13:15,18:45,,,1,B,Weather,0,2475,,Cancelled
1010,2023-09-16,9,Saturday,WN,Southwest Airlines,BOS,ORD,12:15,14:50,5.0,-8.0,0,,,0,851,151.0,Yes
1011,2023-05-24,5,Wednesday,DL,Delta Air Lines,ATL,ORD,16:00,18:10,9.0,8.0,0,,,0,606,127.0,Yes
1012,2023-12-25,12,Monday,AA,American Airlines,LAX,JFK,13:15,18:45,2.0,,0,,,0,2475,332.0,
1013,2023-03-10,3,Friday,F9,Frontier Airlines,DFW,LAX,12:00,15:15,17.0,22.0,0,,,0,1235,201.0,No
1014,2023-05-04,5,Thursday,DL,Delta Air Lines,SEA,SFO,13:00,15:10,0.0,-7.0,0,,,0,679,127.0,Yes
1015,2023-08-19,8,Saturday,AA,American Airlines,SFO,JFK,09:00,14:40,-6.0,-4.0,0,,,0,2586,341.0,Yes
1016,2023-04-22,4,Saturday,AA,American Airlines,SEA,LAX,09:15,12:00,-6.0,-7.0,0,,,0,954,165.0,Yes
1017,2023-11-09,11,Thursday,DL,Delta Air Lines,MSP,ATL,07:00,09:35,5.0,5.0,0,,,0,907,158.0,Yes
1018,2023-07-05,7,Wednesday,AS,alaska airlines,BOS,JFK,19:15,20:15,,,1,A,Carrier,0,187,,Cancelled
1019,2023-05-25,5,Thursday,WN,Southwest Airlines,ORD,DFW,19:15,21:45,33.0,53.0,0,,,0,802,140.0,No
1020,2023-02-26,2,Sunday,WN,Southwest Airlines,BOS,ORD,09:45,12:20,-3.0,-9.0,0,,,0,851,154.0,Yes
1021,2023-05-21,5,Sunday,DL,DELTA AIR LINES,BOS,ORD,22:45,01:20,0.0,-15.0,0,,,0,851,150.0,Yes
1022,2023-08-17,8,Thursday,AS,Alaska Airlines,MSP,ATL,09:45,12:20,14.0,31.0,0,,,0,907,170.0,No
1023,2023-04-22,4,Saturday,AS,Alaska Airlines,ATL,DFW,09:30,11:50,0.0,-3.0,0,,,0,732,136.0,Yes
1024,2023-04-07,4,Friday,AA,American Airlines,MCO,ATL,19:30,21:10,-4.0,1.0,0,,,0,404,115.0,Yes
1025,2023-03-26,3,Sunday,WN,Southwest Airlines,MCO,ATL,12:15,13:55,,,1,A,Carrier,0,404,,Cancelled
1026,2023-06-13,6,Tuesday,WN,Southwest Airlines,IAH,ORD,13:15,15:55,37.0,56.0,0,,,0,925,157.0,No
1027,2023-11-15,11,Wednesday,F9,Frontier Airlines,DFW,LAX,22:30,01:45,3.0,2.0,0,,,0,1235,200.0,Yes
1028,2023-06-03,6,Saturday,WN,Southwest Airlines,BOS,ORD,15:15,17:50,9.0,6.0,0,,,0,851,167.0,Yes
1029,2023-12-25,12,Monday,NK,Spirit Airlines,IAH,ORD,06:45,09:25,-1.0,-3.0,0,,,0,925,163.0,Yes
1030,2023-05-11,5,Thursday,F9,Frontier Airlines,ATL,LAX,18:15,23:30,-10.0,-3.0,0,,,0,1946,307.0,Yes
1031,2023-10-13,10,Friday,AS,alaska airlines,LAS,LAX,14:45,15:50,36.0,54.0,0,,,0,236,66.0,No
1032,2023-02-08,2,Wednesday,AA,American Airlines,ATL,DFW,10:45,13:05,-4.0,-1.0,0,,,0,732,135.0,Yes
1033,2023-07-22,7,Saturday,AA,American Airlines,MCO,ATL,18:45,20:25,45.0,62.0,0,,,0,404,112.0,No
1034,2023-06-22,6,Thursday,AS,Alaska Airlines,SEA,LAX,17:00,19:45,3.0,0.0,0,,,0,954,175.0,Yes
1035,2023-06-27,6,Tuesday,F9,Frontier Airlines,SFO,JFK,14:30,20:10,-8.0,-7.0,0,,,0,2586,344.0,Yes
1036,2023-04-09,4,Sunday,AS,Alaska Airlines,BOS,ORD,14:00,16:35,6.0,24.0,0,,,0,851,152.0,No
1037,2023-09-19,9,Tuesday,WN,Southwest Airlines,MCO,ATL,17:45,19:25,0.0,-4.0,0,,,0,404,98.0,Yes
1038,2023-10-16,10,Monday,WN,Southwest Airlines,DEN,LAX,14:30,17:05,-1.0,-8.0,0,,,0,862,167.0,Yes
1039,2023-12-01,12,Friday,F9,Frontier Airlines,ORD,DFW,15:45,18:15,8.0,11.0,0,,,0,802,142.0,Yes
1040,2023-03-04,3,Saturday,B6,JetBlue Airways,LAX,JFK,19:15,00:45,20.0,29.0,0,,,0,2475,333.0,No
1041,2023-09-03,9,Sunday,WN,Southwest Airlines,BOS,ORD,11:15,13:50,6.0,14.0,0,,,0,851,154.0,Yes
1042,2023-09-26,9,Tuesday,B6,JetBlue Airways,BOS,JFK,12:45,13:45,14.0,17.0,0,,,0,187,55.0,No
1043,2023-03-17,3,Friday,B6,JetBlue Airways,IAH,ORD,21:45,00:25,21.0,39.0,0,,,0,925,152.0,No
1044,2023-01-25,1,Wednesday,B6,JetBlue Airways,BOS,JFK,11:45,12:45,13.0,13.0,0,,,0,187,65.0,Yes
1045,2023-04-22,4,Saturday,NK,Spirit Airlines,MIA,LAX,18:00,23:55,29.0,27.0,0,,,0,2757,361.0,No
1046,2023-10-02,10,Monday,F9,frontier airlines,SFO,JFK,12:30,18:10,4.0,0.0,0,,,0,2586,349.0,Yes
1047,2023-02-21,2,Tuesday,DL,Delta Air Lines,SFO,JFK,10:45,16:25,15.0,18.0,0,,,0,2586,345.0,No
1048,2023-10-26,10,Thursday,DL,Delta Air Lines,BOS,ORD,19:30,22:05,-10.0,-6.0,0,,,0,851,163.0,Yes
1049,2023-12-11,12,Monday,NK,Spirit Airlines,SFO,JFK,12:15,17:55,25.0,33.0,0,,,0,2586,352.0,No
1050,2023-07-19,7,Wednesday,AA,American Airlines,DFW,LAX,16:00,19:15,4.0,-15.0,0,,,0,1235,205.0,Yes
1051,2023-12-22,12,Friday,DL,Delta Air Lines,LAS,LAX,18:30,19:35,5.0,2.0,0,,,0,236,75.0,Yes
1052,2023-02-23,2,Thursday,DL,Delta Air Lines,SFO,JFK,15:00,20:40,,,1,C,National Air System,0,2586,,Cancelled
1053,2023-02-03,2,Friday,UA,United Airlines,JFK,MIA,18:15,21:10,-3.0,-1.0,0,,,1,1090,186.0,Yes
1054,2023-04-21,4,Friday,AS,Alaska Airlines,BOS,JFK,19:30,20:30,2.0,0.0,0,,,0,187,61.0,Yes
1055,2023-10-16,10,Monday,AA,American Airlines,ATL,DFW,15:15,17:35,-4.0,4.0,0,,,0,732,154.0,Yes
1056,2023-07-12,7,Wednesday,F9,Frontier Airlines,ATL,ORD,10:00,12:10,20.0,20.0,0,,,0,606,131.0,No
1057,2023-11-04,11,Saturday,B6,JetBlue Airways,LAS,LAX,20:00,21:05,2.0,2.0,0,,,0,236,55.0,Yes
1058,2023-09-08,9,Friday,AS,Alaska Airlines,ORD,DFW,21:00,23:30,0.0,4.0,0,,,0,802,154.0,Yes
1059,2023-02-08,2,Wednesday,F9,Frontier Airlines,ORD,DFW,10:45,13:15,3.0,3.0,0,,,0,802,153.0,Yes
1060,2023-06-08,6,Thursday,WN,Southwest Airlines,SFO,JFK,17:00,22:40,27.0,42.0,0,,,0,2586,336.0,No
1061,2023-11-11,11,Saturday,AA,american airlines,ATL,ORD,13:15,15:25,37.0,56.0,0,,,0,606,127.0,No
1062,2023-03-26,3,Sunday,UA,United Airlines,SEA,LAX,11:00,13:45,6.0,12.0,0,,,0,954,165.0,Yes
1063,2023-07-19,7,Wednesday,F9,Frontier Airlines,PHX,DFW,09:45,12:15,-9.0,1.0,0,,,0,868,140.0,Yes
1064,2023-04-20,4,Thursday,DL,Delta Air Lines,LAX,JFK,10:00,15:30,0.0,-3.0,0,,,0,2475,334.0,Yes
1065,2023-06-08,6,Thursday,WN,Southwest Airlines,MSP,ATL,19:30,22:05,-7.0,-5.0,0,,,0,907,156.0,Yes
1066,2023-07-02,7,Sunday,AS,Alaska Airlines,DFW,LAX,16:00,19:15,3.0,-14.0,0,,,0,1235,196.0,Yes
1067,2023-10-09,10,Monday,AS,Alaska Airlines,ORD,DFW,13:45,16:15,-10.0,4.0,0,,,0,802,148.0,Yes
1068,2023-09-13,9,Wednesday,UA,United Airlines,BOS,JFK,08:15,09:15,-8.0,1.0,0,,,0,187,60.0,Yes
1069,2023-10-20,10,Friday,UA,United Airlines,JFK,MIA,07:00,09:55,5.0,4.0,0,,,0,1090,189.0,Yes
1070,2023-03-13,3,Monday,B6,JetBlue Airways,ATL,ORD,07:00,09:10,-6.0,-7.0,0,,,0,606,135.0,Yes
1071,2023-05-28,5,Sunday,AS,Alaska Airlines,LAX,JFK,07:45,13:15,,,1,C,National Air System,0,2475,,Cancelled
1072,2023-02-13,2,Monday,NK,Spirit Airlines,MCO,ATL,06:30,08:10,4.0,-4.0,0,,,0,404,97.0,Yes
1073,2023-07-21,7,Friday,UA,United Airlines,LAX,JFK,09:15,14:45,26.0,41.0,0,,,0,2475,324.0,No
1074,2023-10-19,10,Thursday,F9,Frontier Airlines,SFO,JFK,20:30,02:10,-6.0,-1.0,0,,,0,2586,339.0,Yes
1075,2023-01-21,1,Saturday,AS,Alaska Airlines,MCO,ATL,08:45,10:25,-9.0,-1.0,0,,,0,404,96.0,Yes
1076,2023-07-21,7,Friday,AS,Alaska Airlines,LAX,JFK,11:00,16:30,4.0,1.0,0,,,0,2475,331.0,Yes
1077,2023-04-04,4,Tuesday,AS,Alaska Airlines,LAX,JFK,18:30,00:00,-6.0,-5.0,0,,,0,2475,331.0,Yes
1078,2023-11-05,11,Sunday,NK,Spirit Airlines,LAS,LAX,22:00,23:05,28.0,23.0,0,,,0,236,61.0,No
1079,2023-10-18,10,Wednesday,DL,Delta Air Lines,DEN,ORD,22:00,00:40,-6.0,4.0,0,,,0,920,172.0,Yes
1080,2023-08-10,8,Thursday,WN,Southwest Airlines,SFO,JFK,20:15,01:55,13.0,33.0,0,,,0,2586,341.0,No
1081,2023-11-07,11,Tuesday,NK,Spirit Airlines,JFK,MIA,10:30,13:25,,,1,B,Weather,0,1090,,Cancelled
1082,2023-01-25,1,Wednesday,DL,Delta Air Lines,MCO,ATL,11:30,13:10,3.0,-13.0,0,,,0,404,104.0,Yes
1083,2023-03-01,3,Wednesday,DL,Delta Air Lines,PHX,DFW,16:00,18:30,-6.0,-11.0,0,,,0,-868,155.0,Yes
1084,2023-11-05,11,Sunday,B6,JetBlue Airways,DEN,LAX,22:45,01:20,-1.0,-12.0,0,,,0,862,170.0,Yes
1085,2023-04-14,4,Friday,WN,southwest airlines,DFW,LAX,06:30,09:45,-8.0,1.0,0,,,0,1235,201.0,Yes
1086,2023-03-24,3,Friday,NK,Spirit Airlines,PHX,DFW,06:30,09:00,44.0,60.0,0,,,0,868,163.0,No
1087,2023-08-06,8,Sunday,F9,Frontier Airlines,MIA,LAX,10:00,15:55,-9.0,-6.0,0,,,0,2757,346.0,Yes
1088,2023-05-28,5,Sunday,WN,Southwest Airlines,MCO,ATL,07:30,09:10,3.0,-3.0,0,,,0,404,102.0,Yes
1089,2023-01-14,1,Saturday,DL,Delta Air Lines,MSP,ATL,11:30,14:05,14.0,18.0,0,,,0,907,158.0,No
1090,2023-08-26,8,Saturday,NK,spirit airlines,BOS,ORD,07:00,09:35,11.0,31.0,0,,,0,851,145.0,No
1091,2023-05-19,5,Friday,AS,Alaska Airlines,PHX,DFW,07:15,09:45,1.0,-1.0,0,,,0,868,156.0,Yes
1092,2023-02-09,2,Thursday,NK,Spirit Airlines,SEA,LAX,14:45,17:30,5.0,-9.0,0,,,0,954,169.0,Yes
1093,2023-07-18,7,Tuesday,AS,Alaska Airlines,LAX,JFK,15:30,21:00,-5.0,-4.0,0,,,0,2475,326.0,Yes
1094,2023-12-03,12,Sunday,UA,United Airlines,ATL,DFW,08:30,10:50,5.0,1.0,0,,,0,732,148.0,Yes
1095,2023-06-17,6,Saturday,UA,United Airlines,DFW,LAX,07:00,10:15,62.0,67.0,0,,,0,1235,201.0,No
1096,2023-07-03,7,Monday,B6,JetBlue Airways,ATL,DFW,22:15,00:35,-5.0,4.0,0,,,0,732,148.0,Yes
1097,2023-06-20,6,Tuesday,WN,Southwest Airlines,BOS,JFK,06:45,07:45,-1.0,0.0,0,,,0,187,62.0,Yes
1098,2023-12-23,12,Saturday,UA,United Airlines,LAS,LAX,16:30,17:35,90.0,101.0,0,,,0,236,69.0,No
1099,2023-12-06,12,Wednesday,NK,Spirit Airlines,SEA,SFO,16:30,18:40,66.0,75.0,0,,,0,679,120.0,No
1100,2023-08-27,8,Sunday,B6,JetBlue Airways,MIA,LAX,21:30,03:25,3.0,-11.0,0,,,0,2757,369.0,Yes
1101,2023-06-25,6,Sunday,NK,Spirit Airlines,DEN,ORD,14:00,16:40,16.0,36.0,0,,,0,920,161.0,No
1102,2023-07-15,7,Saturday,AS,Alaska Airlines,MIA,LAX,10:15,16:10,-5.0,-3.0,0,,,0,2757,354.0,Yes
1103,2023-04-22,4,Saturday,AA,American Airlines,PHX,DFW,09:45,12:15,-10.0,4.0,0,,,0,868,165.0,Yes
1104,2023-11-22,11,Wednesday,NK,Spirit Airlines,DFW,LAX,13:00,16:15,-4.0,-15.0,0,,,0,1235,198.0,Yes
1105,2023-07-07,7,Friday,AA,American Airlines,DFW,LAX,16:45,20:00,5.0,14.0,0,,,0,1235,196.0,Yes
1106,2023-07-10,7,Monday,WN,Southwest Airlines,BOS,ORD,13:30,16:05,5.0,-5.0,0,,,0,851,170.0,Yes
1107,2023-04-02,4,Sunday,AS,Alaska Airlines,DFW,LAX,15:00,18:15,-2.0,0.0,0,,,0,1235,193.0,Yes
1108,2023-01-04,1,Wednesday,WN,Southwest Airlines,SEA,SFO,19:30,21:40,,40.0,0,,,0,679,125.0,No
1109,2023-04-21,4,Friday,B6,jetblue airways,LAS,LAX,07:00,08:05,20.0,38.0,0,,,0,236,60.0,No
1110,2023-12-02,12,Saturday,UA,United Airlines,MCO,ATL,06:30,08:10,9.0,13.0,0,,,0,404,106.0,Yes
1111,2023-08-09,8,Wednesday,UA,United Airlines,SFO,JFK,11:00,16:40,-4.0,-10.0,0,,,0,2586,342.0,Yes
1112,2023-01-09,1,Monday,AS,Alaska Airlines,SEA,SFO,18:15,20:25,19.0,23.0,0,,,0,679,128.0,No
1113,2023-08-10,8,Thursday,B6,JetBlue Airways,ORD,DFW,17:15,19:45,3.0,12.0,0,,,0,802,153.0,Yes
1114,2023-06-17,6,Saturday,DL,Delta Air Lines,DEN,ORD,17:00,19:40,50.0,62.0,0,,,0,920,167.0,No
1115,2023-06-26,6,Monday,DL,DELTA AIR LINES,DEN,ORD,07:45,10:25,-9.0,2.0,0,,,0,920,173.0,Yes
1116,2023-09-03,9,Sunday,NK,Spirit Airlines,PHX,DFW,07:00,09:30,-1.0,-2.0,0,,,0,868,160.0,Yes
1117,2023-01-22,1,Sunday,NK,Spirit Airlines,IAH,ORD,10:30,13:10,2.0,1.0,0,,,0,925,150.0,Yes
1118,2023-06-12,6,Monday,WN,Southwest Airlines,SEA,SFO,10:30,12:40,-7.0,-14.0,0,,,0,679,144.0,Yes
1119,2023-10-02,10,Monday,AA,American Airlines,SEA,SFO,18:45,20:55,18.0,37.0,0,,,0,679,129.0,No
1120,2023-12-05,12,Tuesday,WN,SOUTHWEST AIRLINES,MCO,ATL,22:15,23:55,36.0,49.0,0,,,0,404,110.0,No
1121,2023-04-23,4,Sunday,NK,Spirit Airlines,DEN,ORD,19:45,22:25,22.0,34.0,0,,,0,920,159.0,No
1122,2023-03-09,3,Thursday,UA,United Airlines,IAH,ORD,12:30,15:10,1.0,-13.0,0,,,0,925,151.0,Yes
1123,2023-03-28,3,Tuesday,WN,Southwest Airlines,MIA,LAX,16:30,22:25,33.0,34.0,0,,,0,2757,369.0,No
1124,2023-06-18,6,Sunday,B6,JetBlue Airways,IAH,ORD,17:30,20:10,5.0,-1.0,0,,,0,925,165.0,Yes
1125,2023-03-18,3,Saturday,UA,United Airlines,ATL,LAX,19:30,00:45,26.0,39.0,0,,,0,1946,325.0,No
1126,2023-10-26,10,Thursday,F9,Frontier Airlines,JFK,MIA,17:15,20:10,-5.0,2.0,0,,,0,1090,181.0,Yes
1127,2023-09-05,9,Tuesday,WN,Southwest Airlines,LAX,JFK,06:15,11:45,,0.0,0,,,0,-2475,333.0,Yes
1128,2023-02-04,2,Saturday,NK,Spirit Airlines,JFK,MIA,22:15,01:10,-2.0,-4.0,0,,,0,1090,176.0,Yes
1129,2023-01-13,1,Friday,DL,Delta Air Lines,ATL,ORD,18:45,20:55,5.0,22.0,0,,,0,606,133.0,No
1130,2023-12-28,12,Thursday,WN,Southwest Airlines,DEN,LAX,21:30,00:05,,,1,A,Carrier,0,862,,Cancelled
1131,2023-03-19,3,Sunday,AS,Alaska Airlines,ATL,LAX,10:45,16:00,79.0,81.0,0,,,0,1946,326.0,No
1132,2023-02-14,2,Tuesday,AS,Alaska Airlines,ATL,ORD,13:00,15:10,,-5.0,0,,,0,606,134.0,Yes
1133,2023-10-20,10,Friday,NK,Spirit Airlines,LAX,JFK,15:15,20:45,40.0,47.0,0,,,0,2475,343.0,No
1134,2023-01-06,1,Friday,DL,Delta Air Lines,DFW,LAX,19:45,23:00,-7.0,-15.0,0,,,0,1235,204.0,Yes
1135,2023-07-06,7,Thursday,WN,Southwest Airlines,BOS,JFK,18:15,19:15,64.0,63.0,0,,,0,187,63.0,No
1136,2023-02-05,2,Sunday,WN,Southwest Airlines,SFO,JFK,15:00,20:40,66.0,73.0,0,,,0,2586,340.0,No
1137,2023-04-06,4,Thursday,WN,Southwest Airlines,MIA,LAX,18:30,00:25,5.0,3.0,0,,,0,2757,353.0,Yes
1138,2023-09-07,9,Thursday,AA,American Airlines,SFO,JFK,20:30,02:10,27.0,47.0,0,,,0,2586,334.0,No
1139,2023-05-18,5,Thursday,F9,Frontier Airlines,BOS,JFK,22:45,23:45,1.0,2.0,0,,,0,187,53.0,Yes
1140,2023-11-14,11,Tuesday,NK,Spirit Airlines,LAS,LAX,09:00,10:05,75.0,86.0,0,,,0,236,62.0,No
1141,2023-02-10,2,Friday,AA,American Airlines,MIA,LAX,19:00,00:55,-6.0,-4.0,0,,,0,2757,351.0,Yes
1142,2023-01-28,1,Saturday,AA,American Airlines,ORD,DFW,16:00,18:30,14.0,16.0,0,,,0,802,150.0,No
1143,2023-01-24,1,Tuesday,NK,Spirit Airlines,IAH,ORD,12:45,15:25,19.0,20.0,0,,,0,925,175.0,No
1144,2023-09-28,9,Thursday,DL,Delta Air Lines,BOS,ORD,21:30,00:05,-7.0,-4.0,0,,,0,851,150.0,Yes
1145,2023-04-04,4,Tuesday,DL,Delta Air Lines,SEA,SFO,11:30,13:40,3.0,4.0,0,,,0,679,125.0,Yes
1146,2023-02-11,2,Saturday,B6,JetBlue Airways,DFW,LAX,20:00,23:15,5.0,-11.0,0,,,0,1235,202.0,Yes
1147,2023-01-26,1,Thursday,DL,Delta Air Lines,BOS,JFK,13:30,14:30,,,1,A,Carrier,0,187,,Cancelled
1148,2023-07-04,7,Tuesday,F9,Frontier Airlines,SEA,LAX,09:30,12:15,1.0,2.0,0,,,0,954,178.0,Yes
1149,2023-03-12,3,Sunday,AA,American Airlines,SFO,JFK,08:45,14:25,14.0,16.0,0,,,0,2586,352.0,No
1150,2023-07-12,7,Wednesday,WN,Southwest Airlines,ATL,ORD,14:15,16:25,-1.0,3.0,0,,,0,606,141.0,Yes
1151,2023-03-05,3,Sunday,UA,United Airlines,DFW,LAX,16:15,19:30,5.0,-11.0,0,,,0,1235,198.0,Yes
1152,2023-06-11,6,Sunday,AS,Alaska Airlines,SFO,JFK,06:00,11:40,1.0,-13.0,0,,,0,2586,343.0,Yes
1153,2023-12-22,12,Friday,F9,Frontier Airlines,LAS,LAX,07:00,08:05,4.0,-15.0,0,,,0,236,69.0,Yes
1154,2023-12-09,12,Saturday,B6,JetBlue Airways,JFK,MIA,08:30,11:25,24.0,39.0,0,,,0,1090,174.0,No
1155,2023-07-08,7,Saturday,DL,Delta Air Lines,DFW,LAX,22:45,02:00,,,1,B,Weather,0,1235,,Cancelled
1156,2023-05-03,5,Wednesday,DL,Delta Air Lines,SEA,SFO,09:00,11:10,-6.0,-3.0,0,,,0,679,124.0,Yes
1157,2023-08-24,8,Thursday,AS,Alaska Airlines,DEN,LAX,10:45,13:20,-4.0,-13.0,0,,,0,862,148.0,Yes
1158,2023-07-20,7,Thursday,DL,Delta Air Lines,SEA,SFO,15:00,17:10,-1.0,-9.0,0,,,0,679,143.0,Yes
1159,2023-08-20,8,Sunday,WN,Southwest Airlines,MIA,LAX,08:00,13:55,-6.0,-3.0,0,,,0,2757,356.0,Yes
1160,2023-03-02,3,Thursday,AA,American Airlines,BOS,ORD,07:45,10:20,3.0,-2.0,0,,,0,851,162.0,Yes
1161,2023-04-13,4,Thursday,UA,United Airlines,SEA,LAX,08:30,11:15,-3.0,-14.0,0,,,0,954,158.0,Yes
1162,2023-02-16,2,Thursday,UA,United Airlines,ATL,LAX,17:30,22:45,25.0,28.0,0,,,0,1946,305.0,No
1163,2023-07-12,7,Wednesday,F9,frontier airlines,SFO,JFK,07:45,13:25,12.0,15.0,0,,,0,2586,351.0,Yes
1164,2023-05-05,5,Friday,F9,Frontier Airlines,PHX,DFW,11:00,13:30,3.0,-8.0,0,,,0,868,163.0,Yes
1165,2023-01-13,1,Friday,WN,Southwest Airlines,DEN,ORD,08:45,11:25,-1.0,-5.0,0,,,0,920,161.0,Yes
1166,2023-10-18,10,Wednesday,F9,Frontier Airlines,DEN,LAX,13:15,15:50,,,1,B,Weather,0,862,,Cancelled
1167,2023-10-22,10,Sunday,AS,Alaska Airlines,ATL,LAX,18:30,23:45,-3.0,-2.0,0,,,0,1946,309.0,Yes
1168,2023-10-03,10,Tuesday,AS,Alaska Airlines,SFO,JFK,09:15,14:55,-9.0,-2.0,0,,,0,2586,339.0,Yes
1169,2023-01-07,1,Saturday,B6,JetBlue Airways,SEA,SFO,10:00,12:10,52.0,57.0,0,,,0,679,144.0,No
1170,2023-11-28,11,Tuesday,AA,American Airlines,DEN,LAX,16:15,18:50,12.0,19.0,0,,,0,862,153.0,No
1171,2023-02-26,2,Sunday,DL,Delta Air Lines,SFO,JFK,10:00,15:40,,,1,C,National Air System,0,2586,,Cancelled
1172,2023-07-09,7,Sunday,DL,Delta Air Lines,BOS,JFK,08:00,09:00,15.0,24.0,0,,,0,187,75.0,No
1173,2023-01-13,1,Friday,NK,Spirit Airlines,MIA,LAX,19:15,01:10,-2.0,-7.0,0,,,0,2757,364.0,Yes
1174,2023-02-14,2,Tuesday,B6,JetBlue Airways,IAH,ORD,12:15,14:55,-10.0,-3.0,0,,,0,925,167.0,Yes
1175,2023-12-26,12,Tuesday,WN,Southwest Airlines,ATL,LAX,14:00,19:15,1.0,3.0,0,,,0,1946,308.0,Yes
1176,2023-12-26,12,Tuesday,WN,SOUTHWEST AIRLINES,BOS,JFK,18:30,19:30,-5.0,-10.0,0,,,0,187,73.0,Yes
1177,2023-03-27,3,Monday,UA,United Airlines,BOS,JFK,21:30,22:30,20.0,,0,,,1,187,65.0,
1178,2023-01-05,1,Thursday,AS,Alaska Airlines,ATL,ORD,10:00,12:10,-8.0,-4.0,0,,,0,606,138.0,Yes
1179,2023-02-23,2,Thursday,F9,Frontier Airlines,LAS,LAX,17:15,18:20,2.0,-6.0,0,,,0,236,60.0,Yes
1180,2023-08-11,8,Friday,AA,American Airlines,JFK,MIA,13:00,15:55,15.0,12.0,0,,,0,1090,170.0,Yes
